Label|m|h|Hm0 toe|Tm1,0t|Tp toe|β|ht|Bt|hb|B|cotad|cotau|gf_d|gf_u|D50_d|D50_u|Ac|Rc|Gc|Kr|Kt|q
A-30.21|15|0.85|0.17|1.655|1.82|0|0.85|0|0|0|1.5|1.5|0.55|0.55|0.111|0.111|-0.19|-0.19|0.4|0|0|1
A-30.22|15|0.85|0.167|1.391|1.53|0|0.85|0|0|0|1.5|1.5|0.55|0.55|0.111|0.111|-0.19|-0.19|0.4|0|0|1
A-30.23|15|0.85|0.152|1.309|1.44|0|0.85|0|0|0|1.5|1.5|0.55|0.55|0.111|0.111|-0.19|-0.19|0.4|0|0|1
A-30.24|15|0.8|0.174|1.255|1.38|0|0.8|0|0|0|1.5|1.5|0.55|0.55|0.111|0.111|-0.14|-0.14|0.4|0|0|1
A-30.25|15|0.76|0.157|1.182|1.3|0|0.76|0|0|0|1.5|1.5|0.55|0.55|0.111|0.111|-0.1|-0.1|0.4|0|0|1
A-30.26|15|0.6|0.134|1.055|1.16|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.27|15|0.6|0.134|1.055|1.16|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.28|15|0.6|0.158|1.145|1.26|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.29|15|0.75|0.178|1.218|1.34|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.30|15|0.75|0.177|1.218|1.34|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.31|15|0.45|0.08|0.827|0.91|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.32|15|0.45|0.122|1.182|1.3|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.33|15|0.6|0.153|1.409|1.55|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.34|15|0.6|0.152|1.409|1.55|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.35|15|0.45|0.148|1.391|1.53|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.36|15|0.75|0.096|1.318|1.45|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.37|15|0.75|0.095|1.318|1.45|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.38|15|0.6|0.171|1.791|1.97|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.39|15|0.6|0.17|1.791|1.97|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.40|15|0.75|0.153|1.709|1.88|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.41|15|0.75|0.153|1.709|1.88|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.42|15|0.75|0.151|1.709|1.88|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.43|15|0.45|0.144|2.027|2.23|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.44|15|0.45|0.158|2.136|2.35|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.45|15|0.45|0.123|1.927|2.12|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.46|15|0.45|0.122|1.927|2.12|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.12|-0.12|0.4|0|0|1
A-30.47|15|0.6|0.126|2.4|2.64|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.48|15|0.6|0.125|2.4|2.64|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.49|15|0.75|0.098|2.218|2.44|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.50|15|0.75|0.099|2.236|2.46|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.42|-0.42|0.4|0|0|1
A-30.51|15|0.6|0.131|2.582|2.84|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.111|0.111|-0.27|-0.27|0.4|0|0|1
A-30.52|15|0.6|0.122|1.036|1.14|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.06|0.06|0.3|0|0|1
A-30.53|15|0.75|0.16|1.218|1.34|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
A-30.54|15|0.45|0.158|1.236|1.36|0|0.45|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.21|0.21|0.3|0|0|1
A-30.55|15|0.75|0.162|1.318|1.45|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
A-30.56|15|0.75|0.13|1.218|1.34|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
A-30.57|15|0.6|0.162|1.373|1.51|0|0.6|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|0.06|0.06|0.3|0|0|1
A-30.58|15|0.75|0.125|1.209|1.33|0|0.75|0|0|0|1.5|1.5|0.4|0.4|0.161|0.161|-0.09|-0.09|0.3|0|0|1
